ID,Grade,Most Recent Hire Date,Age Range,LTR
1,C1,04/09/1978,60-69,Facility Engineer 2
2,B2,21/08/1978,60-69,Facility Engineer 2
3,C1,21/11/2023,>70,Facility Engineer 2
4,C1,02/09/1987,60-69,Manufacturing Engineering 2
5,C2,16/08/1982,60-69,Principal Asset Engineer 2
6,C1,13/08/1984,55-59,Facility Engineer 2
7,C1,03/12/1984,60-69,Facility Engineer 2
8,C1,23/03/1987,60-69,Facility Engineer 2
9,C1,23/10/1989,55-59,Manufacturing Engineering 2
10,D1,08/01/1990,55-59,Engineering Management 2
11,C1,16/08/1982,55-59,Manufacturing Engineering 2
12,C1,11/08/1986,55-59,Facility Engineer 2
13,C1,15/08/1983,55-59,Facility Engineer 2
14,C1,14/11/1988,60-69,Facility Engineer 2
15,C2,06/08/1990,55-59,Manufacturing Engineering 2
16,B2,13/08/1984,55-59,Manufacturing Engineering 2
17,C2,07/09/1987,55-59,Principal Asset Engineer 2
18,C2,08/08/1988,50-54,Principal Asset Engineer 2
19,C2,10/08/1987,50-54,Principal Asset Engineer 2
20,B2,15/05/1989,55-59,Facility Engineer 2
21,B2,12/08/1985,55-59,Facility Engineer 2
22,B2,10/08/1987,55-59,Facility Engineer 2
23,B2,23/05/1988,60-69,Facility Engineer 2
24,C1,16/09/1985,60-69,Facility Engineer 2
25,B2,11/12/1995,60-69,Facility Engineer 2
26,B2,11/12/1995,60-69,Facility Engineer 2
27,C1,17/08/1981,60-69,Facility Engineer 2
28,C2,08/08/1988,50-54,Manufacturing Engineering 2
29,C1,07/08/1989,50-54,Manufacturing Engineering 2
30,C1,11/08/1986,55-59,Maintenance Engineer 2
31,C2,06/01/1997,50-54,Manufacturing Engineering 2
32,B2,15/08/1983,55-59,Facility Engineer 2
33,C2,01/09/1997,60-69,Principal Asset Engineer 2
34,C1,09/02/1987,60-69,Maintenance Engineer 2
35,B2,06/03/1989,60-69,Maintenance Engineer 2
36,C1,04/06/2007,40-49,Maintenance Planner 2
37,B2,04/06/2007,30-39,Manufacturing Engineering 2
38,C2,30/07/2007,50-54,Manufacturing Engineering 2
39,B2,06/08/2007,30-39,Facility Engineer 2
40,C1,06/08/2007,30-39,Facility Engineer 2
41,C1,06/08/2007,30-39,Maintenance Engineer 2
42,B2,06/08/2007,30-39,Facility Engineer 2
43,B2,06/08/2007,30-39,Manufacturing Engineering 2
44,B1,06/08/2007,30-39,Craft Engineer Specialist 2
45,B2,13/08/2007,60-69,Facility Engineer 2
46,B2,07/01/2008,60-69,Maintenance Planner 2
47,B1,07/01/2008,60-69,Facility Engineer 2
48,C2,04/02/2008,60-69,Manufacturing Engineering 2
49,C1,18/02/2008,40-49,Facility Engineer 2
50,C1,03/03/2008,40-49,Principal Asset Engineer 2
51,A2,10/03/2008,55-59,Craft Engineer Practitioner 2
52,D1,25/03/2008,40-49,Manufacturing Engineering 2
53,B2,28/03/2008,30-39,Manufacturing Engineering 2
54,C2,28/04/2008,60-69,Principal Asset Engineer 2
55,C2,27/05/2008,55-59,Principal Asset Engineer 2
56,B1,07/07/2008,55-59,Maintenance Engineer 2
57,B2,07/07/2008,50-54,Facility Engineer 2
58,C1,09/05/2016,30-39,Facility Engineer 2
59,B1,04/08/2008,30-39,Craft Engineer Specialist 2
60,B1,04/08/2008,30-39,Craft Engineer Specialist 2
61,C1,04/08/2008,30-39,Maintenance Engineer 2
62,C1,29/09/2008,55-59,Maintenance Planner 2
63,C2,27/10/2008,40-49,Manufacturing Engineering 2
64,B1,10/11/2008,60-69,Craft Engineer Specialist 2
65,B2,24/11/2008,60-69,Maintenance Planner 2
66,C2,12/01/2009,40-49,Principal Asset Engineer 2
67,B1,03/08/2009,30-39,Craft Engineer Specialist 2
68,B1,03/08/2009,30-39,Craft Engineer Specialist 2
69,C1,03/08/2009,30-39,Manufacturing Engineering 2
70,C2,07/06/2010,40-49,Principal Asset Engineer 2
71,B1,02/08/2010,30-39,Craft Engineer Specialist 2
72,A2,27/02/2017,30-39,Craft Engineer Practitioner 2
73,A2,02/08/2010,30-39,Craft Engineer Practitioner 2
74,C2,03/08/2010,30-39,Manufacturing Engineering 2
75,A2,01/08/2011,30-39,Craft Engineer Practitioner 2
76,B2,01/08/2011,30-39,Manufacturing Engineering 2
77,B2,01/08/2011,30-39,Maintenance Engineer 2
78,C2,01/08/2011,30-39,Facility Engineer 2
79,B1,01/08/2011,30-39,Craft Engineer Specialist 2
80,A2,01/08/2011,30-39,Craft Engineer Practitioner 2
81,C1,01/08/2011,30-39,Facility Engineer 2
82,B2,01/08/2011,30-39,Maintenance Engineer 2
83,B1,01/08/2011,30-39,Craft Engineer Specialist 2
84,C1,17/08/2011,30-39,Manufacturing Engineering 2
85,B2,30/01/2012,60-69,Maintenance Engineer 2
86,C1,13/02/2012,60-69,Manufacturing Engineering 2
87,B2,12/03/2012,30-39,Maintenance Engineer 2
88,C1,08/05/2012,40-49,Manufacturing Engineering 2
89,C1,08/05/2012,40-49,Manufacturing Engineering 2
90,B2,10/04/2017,30-39,Facility Engineer 2
91,B1,09/07/2012,40-49,Craft Engineer Specialist 2
92,B2,16/07/2012,40-49,Manufacturing Engineering 2
93,B1,06/08/2012,40-49,Craft Engineer Specialist 2
94,C2,30/07/2012,30-39,Manufacturing Engineering 2
95,B2,06/08/2012,30-39,Manufacturing Engineering 2
96,B2,06/08/2012,30-39,Facility Engineer 2
97,B2,06/08/2012,30-39,Maintenance Engineer 2
98,B1,06/08/2012,30-39,Manufacturing Engineering 2
99,B2,06/08/2012,30-39,Facility Engineer 2
100,B1,06/08/2012,30-39,Craft Engineer Specialist 2
101,B1,03/09/2012,55-59,Craft Engineer Specialist 2
102,C2,24/09/2012,30-39,Principal Asset Engineer 2
103,B2,03/12/2012,>70,Manufacturing Engineering 2
104,C2,10/12/2012,30-39,Manufacturing Engineering 2
105,C2,10/12/2012,40-49,Facility Engineer 2
106,C1,07/01/2013,50-54,Facility Engineer 2
107,C1,14/01/2013,50-54,Facility Engineer 2
108,B2,25/02/2013,60-69,Manufacturing Engineering 2
109,B2,04/03/2013,55-59,Facility Engineer 2
110,C1,04/03/2013,55-59,Facility Engineer 2
111,C2,22/04/2013,55-59,Principal Asset Engineer 2
112,B1,29/04/2013,40-49,Manufacturing Engineering 2
113,C1,20/05/2013,60-69,Facility Engineer 2
114,C1,23/06/2014,30-39,Configuration Management
115,B2,08/07/2013,30-39,Facility Engineer 2
116,C1,22/07/2013,50-54,Facility Engineer 2
117,B1,22/07/2013,50-54,Craft Engineer Specialist 2
118,A2,05/08/2013,30-39,Craft Engineer Practitioner 2
119,B2,05/08/2013,30-39,Manufacturing Engineering 2
120,A2,05/08/2013,20-29,Craft Engineer Practitioner 2
121,B2,05/08/2013,30-39,Maintenance Engineer 2
122,A2,05/08/2013,30-39,Craft Engineer Practitioner 2
123,B1,05/08/2013,20-29,Craft Engineer Specialist 2
