ID,Age,Service,Grade_Score,Job_Family
1,63,48,5,Facility Engineer
2,63,48,4,Facility Engineer
3,72,2,5,Facility Engineer
4,65,39,5,Manufacturing Engineering
5,63,44,6,Principal Asset Engineer
6,57,42,5,Facility Engineer
7,69,41,5,Facility Engineer
8,68,39,5,Facility Engineer
9,57,36,5,Manufacturing Engineering
10,58,36,7,Engineering Management
11,57,44,5,Manufacturing Engineering
12,59,40,5,Facility Engineer
13,57,43,5,Facility Engineer
14,66,37,5,Facility Engineer
15,59,36,6,Manufacturing Engineering
16,55,42,4,Manufacturing Engineering
17,55,39,6,Principal Asset Engineer
18,54,38,6,Principal Asset Engineer
19,50,39,6,Principal Asset Engineer
20,57,37,4,Facility Engineer
21,58,41,4,Facility Engineer
22,56,39,4,Facility Engineer
23,69,38,4,Facility Engineer
24,62,41,5,Facility Engineer
25,68,30,4,Facility Engineer
26,69,30,4,Facility Engineer
27,68,45,5,Facility Engineer
28,54,38,6,Manufacturing Engineering
29,54,37,5,Manufacturing Engineering
30,58,40,5,Maintenance Engineer
31,54,29,6,Manufacturing Engineering
32,55,43,4,Facility Engineer
33,60,29,6,Principal Asset Engineer
34,66,39,5,Maintenance Engineer
35,62,37,4,Maintenance Engineer
36,41,19,5,Maintenance Planner
37,32,19,4,Manufacturing Engineering
38,52,19,6,Manufacturing Engineering
39,31,19,4,Facility Engineer
40,34,19,5,Facility Engineer
41,30,19,5,Maintenance Engineer
42,31,19,4,Facility Engineer
43,31,19,4,Manufacturing Engineering
44,37,19,3,Craft Engineer Specialist
45,63,19,4,Facility Engineer
46,69,18,4,Maintenance Planner
47,64,18,3,Facility Engineer
48,60,18,6,Manufacturing Engineering
49,45,18,5,Facility Engineer
50,43,18,5,Principal Asset Engineer
51,59,18,2,Craft Engineer Practitioner
52,49,18,7,Manufacturing Engineering
53,39,18,4,Manufacturing Engineering
54,63,18,6,Principal Asset Engineer
55,59,18,6,Principal Asset Engineer
56,56,18,3,Maintenance Engineer
57,52,18,4,Facility Engineer
58,38,10,5,Facility Engineer
59,34,18,3,Craft Engineer Specialist
60,39,18,3,Craft Engineer Specialist
61,38,18,5,Maintenance Engineer
62,56,18,5,Maintenance Planner
63,47,17,6,Manufacturing Engineering
64,62,17,3,Craft Engineer Specialist
65,68,17,4,Maintenance Planner
66,49,17,6,Principal Asset Engineer
67,31,17,3,Craft Engineer Specialist
68,34,17,3,Craft Engineer Specialist
69,34,17,5,Manufacturing Engineering
70,49,16,6,Principal Asset Engineer
71,34,16,3,Craft Engineer Specialist
72,30,9,2,Craft Engineer Practitioner
73,31,16,2,Craft Engineer Practitioner
74,33,16,6,Manufacturing Engineering
75,31,15,2,Craft Engineer Practitioner
76,35,15,4,Manufacturing Engineering
77,31,15,4,Maintenance Engineer
78,35,15,6,Facility Engineer
79,38,15,3,Craft Engineer Specialist
80,30,15,2,Craft Engineer Practitioner
81,35,15,5,Facility Engineer
82,33,15,4,Maintenance Engineer
83,33,15,3,Craft Engineer Specialist
84,30,15,5,Manufacturing Engineering
85,61,14,4,Maintenance Engineer
86,69,14,5,Manufacturing Engineering
87,31,14,4,Maintenance Engineer
88,41,14,5,Manufacturing Engineering
89,49,14,5,Manufacturing Engineering
90,34,9,4,Facility Engineer
91,44,14,3,Craft Engineer Specialist
92,48,14,4,Manufacturing Engineering
93,43,14,3,Craft Engineer Specialist
94,33,14,6,Manufacturing Engineering
95,33,14,4,Manufacturing Engineering
96,35,14,4,Facility Engineer
